publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	full_coverage	collection	discipline	catalog_identifier_oclc	catalog_identifier_lccn
Middle East Journal	0026-3141	1940-3461	1947-01-01	1	1	2012-10-01	66	4	http://www.jstor.org/journal/middeastj		middeastj	P4Y	fulltext		Middle East Institute	serial								P	1947-01-01 - 2012-10-01	Arts & Sciences VI Collection ; Corporate & For-Profit Access Initiative Collection	Area Studies ; Middle East Studies ; Political Science ; Social Sciences	173688345	2007-213739
Middle East Report	0899-2851		1988-03-01		151	2012-12-01		265	http://www.jstor.org/journal/middleeastreport		middleeastreport	P4Y	fulltext		Middle East Research and Information Project, Inc. (MERIP)	serial							merimiddeastrepo	P	1988-03-01 - 2012-12-01	Arts & Sciences II Collection ; Corporate & For-Profit Access Initiative Collection	Area Studies ; Middle East Studies ; Political Science ; Social Sciences ; Sociology	48531006	2001-227371
Middle East Studies Association Bulletin	0026-3184		1967-05-15	1	1	2008-07-01	42	1/2	http://www.jstor.org/journal/middeaststudasbu		middeaststudasbu		fulltext		Middle East Studies Association of North America (MESA)	serial						revimiddeaststud		P	1967-05-15 - 2008-07-01	Arts & Sciences IX Collection	Area Studies ; Middle East Studies	85447073	
Middle Eastern Studies	0026-3206		1964-10-01	1	1	2008-11-01	44	6	http://www.jstor.org/journal/middeaststudies		middeaststudies	P8Y	fulltext		Taylor & Francis, Ltd.	serial								P	1964-10-01 - 2008-11-01	Arts & Sciences VII Collection ; Corporate & For-Profit Access Initiative Collection	Area Studies ; Middle East Studies	60630355	65-009869
Middle School Journal	0094-0771		1970-01-01	1/2/3		2014-11-01	46	2	http://www.jstor.org/journal/middschoj		middschoj	P2Y	fulltext		Association for Middle Level Education (AMLE)	serial								P	1970-01-01 - 2014-11-01	Arts & Sciences X Collection	Education ; Social Sciences	563804060	2013-202534
The Midland Naturalist	0271-6844		1909-04-01	1	1	1909-10-01	1	4	http://www.jstor.org/journal/midlnatu		midlnatu		fulltext		The University of Notre Dame	serial						amermidlnatu		P	1909-04-01 - 1909-10-01	Biological Sciences Collection ; Life Sciences Collection ; Corporate & For-Profit Access Initiative Collection ; Ecology & Botany I Collection	Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics	45446829	00-227426
Midwest Folklore	0544-0750		1951-04-01	1	1	1963-12-01	13	4	http://www.jstor.org/journal/midwfolk		midwfolk		fulltext		Indiana University Press	serial						jfolkinst	hoosierfolklore	P	1951-04-01 - 1963-12-01	Anthropology Discipline Package ; Arts & Sciences V Collection ; Corporate & For-Profit Access Initiative Collection	Folklore ; Humanities	299098992	2009-235071
Midwest Journal of Political Science	0026-3397		1957-05-01	1	1	1972-11-01	16	4	http://www.jstor.org/journal/midwjpoliscie		midwjpoliscie		fulltext		Midwest Political Science Association	serial						amerjpoliscie		P	1957-05-01 - 1972-11-01	Arts & Sciences I Collection ; Corporate & For-Profit Access Initiative Collection	American Studies ; Area Studies ; Political Science ; Social Sciences	38309961	sn98-23012
The Midwest Sociologist	1948-1586		1939-06-01	2	1	1959-07-01	21	2	http://www.jstor.org/journal/midwsoc		midwsoc		fulltext		Wiley	serial						sociquar		P	1939-06-01 - 1959-07-01	Arts & Sciences VII Collection ; Corporate & For-Profit Access Initiative Collection	Social Sciences ; Sociology	467979489	2009-235750
The Midwestern Archivist	0363-888X		1976-01-01	1	1	1991-01-01	16	2	http://www.jstor.org/journal/midwarch		midwarch	P4Y	fulltext		Midwest Archives Conference	serial								P	1976-01-01 - 1991-01-01	Arts & Sciences XI Collection	Library Science ; Social Sciences	565367244	2013-202538
Mientras Tanto	0210-8259		1979-11-01		1	2013-01-01		120	http://www.jstor.org/journal/mientrastanto		mientrastanto	P3Y	fulltext		Icaria Editorial	serial							materiales	P	1979-11-01 - 2013-01-01	Iberoamérica Collection ; Arts & Sciences X Collection	Social Sciences ; Sociology	654139608	2011-235503
Mifgash: Journal of Social-Educational Work / מפגש לעבודה חינוכית-סוציאלית	0792-6820		1991-06-01		1	2014-12-01	כ"ב	40	http://www.jstor.org/journal/mifgash		mifgash	P2Y	fulltext		EFSHAR - The Association for the Development of Social and Educational Services	serial								P	1991-06-01 - 2014-12-01	Hebrew Journals Collection	Education ; Social Sciences ; Social Work	893017239	
Mikbatz: The Israel Journal of Group Psychotherapy / מקבץ: כתב העת הישראלי להנחיה ולטיפול קבוצתי	2310-2063		1995-07-01	2	1	2012-01-01	17	1	http://www.jstor.org/journal/mikbatz		mikbatz	P4Y	fulltext		Israeli Association of Group Psychotherapy / עמותה ישראלית להנחיה ולטיפול קבוצתי (ע"ר)	serial								P	1995-07-01 - 2012-01-01	Hebrew Journals Collection	Psychology ; Social Sciences ; Social Work	884533713	
The Milbank Memorial Fund Quarterly	0026-3745		1934-01-01	12	1	1972-10-01	50	4	http://www.jstor.org/journal/milbmemofundquar		milbmemofundquar		fulltext		Wiley	serial						milbmemofundqua2	milbmemofundqua3	P	1934-01-01 - 1972-10-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection	Health Policy ; Medicine & Allied Health ; Public Policy & Administration ; Social Sciences	68578476	2006-236969
The Milbank Memorial Fund Quarterly Bulletin	0276-5187		1923-03-01	1	1	1933-10-01	11	4	http://www.jstor.org/journal/milbmemofundqua3		milbmemofundqua3		fulltext		Wiley	serial						milbmemofundquar		P	1923-03-01 - 1933-10-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection	Health Policy ; Medicine & Allied Health ; Public Policy & Administration ; Social Sciences	68577220	2006-236968
The Milbank Memorial Fund Quarterly. Health and Society	0160-1997		1973-01-01	51	1	1985-10-01	63	4	http://www.jstor.org/journal/milbmemofundqua2		milbmemofundqua2		fulltext		Wiley	serial						milbankquarterly	milbmemofundquar	P	1973-01-01 - 1985-10-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection	Health Policy ; Medicine & Allied Health ; Public Policy & Administration ; Social Sciences	68579300	2006-236967
The Milbank Quarterly	0887-378X		1986-01-01	64		2014-12-01	92	4	http://www.jstor.org/journal/milbankquarterly		milbankquarterly	P2Y	fulltext		Wiley	serial							milbmemofundqua2	P	1986-01-01 - 2014-12-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection	Health Policy ; Medicine & Allied Health ; Public Policy & Administration ; Social Sciences	34945088	2002-211513
Military Affairs	0026-3931		1941-04-01	5	1	1988-10-01	52	4	http://www.jstor.org/journal/militaryaffairs		militaryaffairs		fulltext	Coverage for this title ends with Volume 71, Issue 4, 2007.		serial						jmilitaryhistory	jamermiliinst	P	1941-04-01 - 1988-10-01		History ; History	37032240	sn97-23039
Milton Newsletter	0146-4922		1967-03-01	1	1	1969-12-01	3	4	http://www.jstor.org/journal/miltonnewsletter		miltonnewsletter		fulltext		Wiley	serial						miltonquarterly		P	1967-03-01 - 1969-12-01	Arts & Sciences XV Collection	Humanities ; Language & Literature	680474230	
Milton Quarterly	0026-4326	1094-348X	1970-03-01	4	1	2010-12-01	44	4	http://www.jstor.org/journal/miltonquarterly		miltonquarterly	P6Y	fulltext		Wiley	serial							miltonnewsletter	P	1970-03-01 - 2010-12-01	Arts & Sciences XV Collection	Humanities ; Language & Literature	858838950	76644374
Mind	0026-4423	1460-2113	1876-01-01	1	1	2010-10-01	119	476	http://www.jstor.org/journal/mind		mind	P6Y	fulltext		Oxford University Press	serial								P	1876-01-01 - 2010-10-01	Arts & Sciences I Collection	Humanities ; Philosophy	40463594	sn98-23315
Minerva	0026-4695	1573-1871	1962-10-01	1	1	2012-12-01	50	4	http://www.jstor.org/journal/minerva		minerva	P4Y	fulltext		Springer	serial								P	1962-10-01 - 2012-12-01	Arts & Sciences XII Collection	Education ; General Science ; Science & Mathematics ; Social Sciences	42210051	2004-233264
Minnesota History	0026-5497		1925-03-01	6	1	2012-12-01	63	4	http://www.jstor.org/journal/minnhist		minnhist	P4Y	fulltext		Minnesota Historical Society Press	serial							minnhistbull	P	1925-03-01 - 2012-12-01	Arts & Sciences V Collection	American Studies ; Area Studies ; History ; History	320245756	2009-235552
Minnesota History Bulletin	0190-6348		1915-02-01	1	1	1924-11-01	5	8	http://www.jstor.org/journal/minnhistbull		minnhistbull		fulltext		Minnesota Historical Society Press	serial						minnhist		P	1915-02-01 - 1924-11-01	Arts & Sciences V Collection	American Studies ; Area Studies ; History ; History	400999306	2009-235554
MIR: Management International Review	0938-8249	1861-8901	1990-03-01	30	1	2012-01-01	52	6	http://www.jstor.org/journal/mirmanaintrev		mirmanaintrev	P4Y	fulltext		Springer	serial							manainterev	P	1990-03-01 - 2012-01-01	Arts & Sciences X Collection ; Business & Economics Collection ; Business III Collection	Business ; Business & Economics ; Economics ; Management & Organizational Behavior	61311506	2010-234965
